110 MCG/ACTUATION AEROSOL INHALER 2 PUFFS FROM THE INHALER TWICE A DAY WITH SPACER
137 MCG NASAL SPRAY AEROSOL (ALSO KNOWN AS ASTELIN) 2 SPRAYS IN EACH NOSTRIL TWICE A DAY
137 MCG NASAL SPRAY AEROSOL (ALSO KNOWN AS ASTELIN) 2 SPRAYS IN EACH NOSTRIL TWICE A DAY AS NEEDED
137 MCG NASAL SPRAY AEROSOL (ALSO KNOWN AS ASTELIN) 2 SPRAYS IN EACH NOSTRIL TWICE A DAY PRN
50 MCG 2 SPRAYS EACH NOSTRIL DAILY
"50 MCG/ACTUATION NASAL SPRAY, SUSP (ALSO KNOWN AS FLONASE) 1 SPRAY IN EACH NOSTRIL DAILY"
"50 MCG/ACTUATION NASAL SPRAY, SUSP (ALSO KNOWN AS FLONASE) 1 SPRAY IN EACH NOSTRIL DAILY AS NEEDED"
"50 MCG/ACTUATION NASAL SPRAY, SUSP (ALSO KNOWN AS FLONASE) 1 SPRAY IN EACH NOSTRIL TWICE A DAY"
"50 MCG/ACTUATION NASAL SPRAY, SUSP (ALSO KNOWN AS FLONASE) 1 SPRAY IN EACH NOSTRIL TWICE A DAY AS NEEDED"
"50 MCG/ACTUATION NASAL SPRAY, SUSP (ALSO KNOWN AS FLONASE) 2 SPRAY IN EACH NOSTRIL AS NEEDED"
"50 MCG/ACTUATION NASAL SPRAY, SUSP (ALSO KNOWN AS FLONASE) 2 SPRAY IN EACH NOSTRIL DAILY"
"50 MCG/ACTUATION NASAL SPRAY, SUSP (ALSO KNOWN AS FLONASE) 2 SPRAY IN EACH NOSTRIL DAILY AS NEEDED"
"50 MCG/ACTUATION NASAL SPRAY, SUSP (ALSO KNOWN AS FLONASE) 2 SPRAY IN EACH NOSTRIL DAILY PRN"
"50 MCG/ACTUATION NASAL SPRAY, SUSP (ALSO KNOWN AS FLONASE) 2 SPRAYS IN EACH NOSTRIL DAILY"
"50 MCG/ACTUATION NASAL SPRAY, SUSP (ALSO KNOWN AS FLONASE) 2 SPRAYS IN EACH NOSTRIL DAILY AS NEEDED"
"50 MCG/ACTUATION NASAL SPRAY, SUSP (ALSO KNOWN AS FLONASE) 2 SPRAYS IN EACH NOSTRIL DAILY PRN"
"50 MCG/ACTUATION NASAL SPRAY,SUSPENSION (ALSO KNOWN AS FLONASE) 1 SPRAY IN EACH NOSTRIL DAILY"
"50 MCG/ACTUATION NASAL SPRAY,SUSPENSION (ALSO KNOWN AS FLONASE) 1 SPRAY IN EACH NOSTRIL DAILY AS NEEDED"
"50 MCG/ACTUATION NASAL SPRAY,SUSPENSION (ALSO KNOWN AS FLONASE) 1 SPRAY IN EACH NOSTRIL TWICE A DAY AS NEEDED"
"50 MCG/ACTUATION NASAL SPRAY,SUSPENSION (ALSO KNOWN AS FLONASE) 2 SPRAY IN EACH NOSTRIL AS NEEDED"
"50 MCG/ACTUATION NASAL SPRAY,SUSPENSION (ALSO KNOWN AS FLONASE) 2 SPRAY IN EACH NOSTRIL DAILY"
"50 MCG/ACTUATION NASAL SPRAY,SUSPENSION (ALSO KNOWN AS FLONASE) 2 SPRAY IN EACH NOSTRIL DAILY AS NEEDED"
"50 MCG/ACTUATION NASAL SPRAY,SUSPENSION (ALSO KNOWN AS FLONASE) 2 SPRAY IN EACH NOSTRIL DAILY PRN"
"50 MCG/ACTUATION NASAL SPRAY,SUSPENSION (ALSO KNOWN AS FLONASE) 2 SPRAYS IN EACH NOSTRIL DAILY"
"50 MCG/ACTUATION NASAL SPRAY,SUSPENSION (ALSO KNOWN AS FLONASE) 2 SPRAYS IN EACH NOSTRIL DAILY AS NEEDED"
"50 MCG/ACTUATION NASAL SPRAY,SUSPENSION 1 SPRAY IN EACH NOSTRIL DAILY"
"50 MCG/ACTUATION NASAL SPRAY,SUSPENSION 1 SPRAY IN EACH NOSTRIL DAILY AS NEEDED"
"50 MCG/ACTUATION NASAL SPRAY,SUSPENSION 1 SPRAY IN EACH NOSTRIL TWICE A DAY AS NEEDED"
"50 MCG/ACTUATION NASAL SPRAY,SUSPENSION 2 SPRAY IN EACH NOSTRIL AS NEEDED"
"50 MCG/ACTUATION NASAL SPRAY,SUSPENSION 2 SPRAY IN EACH NOSTRIL DAILY"
"50 MCG/ACTUATION NASAL SPRAY,SUSPENSION 2 SPRAY IN EACH NOSTRIL DAILY AS NEEDED"
"50 MCG/ACTUATION NASAL SPRAY,SUSPENSION 2 SPRAYS IN EACH NOSTRIL DAILY"
"50 MCG/ACTUATION NASAL SPRAY,SUSPENSION 2 SPRAYS IN EACH NOSTRIL DAILY AS NEEDED"
50MCG 1 SPRAY EACH NOSTRIL DAILY
50MCG 2 SPRAYS EACH NOSTRIL DAILY
50MCG 2 SPRAYS IN EACH NOSTRIL DAILY
8LMG PO DAILY
ADMINISTER 2 SPRAYS (110 MCG TOTAL) INTO EACH NOSTRIL DAILY
TAKE 1/2 TABLET (20MG) EVERY DAY IN THE EVENING.   **DNS**
